# ra            dec          z          
  204.0050049   49.9609184   0.0053907  
  139.2720184   25.4293041   0.0055112  
  154.117569    45.3215408   0.005523   
  172.1000366   9.4076233    0.0056842  
  187.9024048   36.0074692   0.0057475  
  127.4114456   52.0764236   0.005848   
  175.103653    28.3738861   0.006099   
  213.7654419   36.4572716   0.0062877  
  227.1759491   46.9069443   0.0064283  
  179.9558868   21.4487514   0.0065773  
  139.6522827   47.8725243   0.0066656  
  195.1454315   64.4471741   0.0069714  
  150.6481018   19.1769047   0.0069831  
  118.4386673   21.0494251   0.0071261  
  166.712326    51.1961632   0.0072016  
  147.173233    59.2610779   0.0074437  
  189.7371826   38.0902901   0.0074445  
  134.3972168   27.7681236   0.0076578  
  211.6688995   22.0700951   0.0077391  
  162.2710266   52.335556    0.0078892  
  223.3747406   52.0739899   0.0079166  
  137.3309326   54.9120331   0.0081421  
  172.0025177   29.5110569   0.0081501  
  143.7644043   18.4933109   0.008169   
  227.1395569   52.2962074   0.0082775  
  200.0774841   50.7204475   0.0082955  
  226.3597717   46.5650558   0.0083691  
  177.9915161   61.9307098   0.0084162  
  196.4481964   27.7341442   0.0084351  
  188.2151947   20.1834965   0.0084506  
  196.3536224   56.3228493   0.0084586  
  123.2348404   54.9690399   0.0085568  
  134.9514618   55.7063866   0.0086133  
  247.7816772   43.3485413   0.0086513  
  191.3775482   20.8159504   0.0086524  
  138.0604858   44.9548531   0.0087361  
  193.9665527   63.6110458   0.0088687  
  193.8147278   2.8966484    0.0092727  
  200.7537842   23.306448    0.0093012  
  189.9500732   12.9739695   0.0094333  
  242.7979584   48.3344841   0.009435   
  147.918808    14.0381556   0.0096201  
  152.0540314   18.7070885   0.0096277  
  128.5167694   52.0021477   0.0097332  
  248.6061859   21.5408611   0.0097951  
  165.3482513   57.6777534   0.0099949  
  136.0951385   27.9530067   0.0099973  
  135.9271698   29.2959976   0.0100222  
  139.5827484   17.7533131   0.0100483  
  233.8295593   20.8423615   0.010095   
  161.3638      58.5932655   0.0101802  
  208.2726135   15.8445482   0.0102141  
  212.6495972   59.3580704   0.0102219  
  120.6785355   40.6786194   0.0102997  
  124.5058975   47.8526535   0.0103678  
  210.5000153   20.5016594   0.0104146  
  122.6990662   46.9123116   0.0104228  
  135.5257416   23.3870888   0.0104681  
  189.6552429   55.9258003   0.0106726  
  225.3538971   48.1077309   0.0107144  
  162.0664673   45.2057076   0.010858   
  197.0898895   39.461174    0.0109511  
  220.9549866   53.4007721   0.0109719  
  141.2318115   55.8967857   0.0110285  
  242.0166473   20.1987705   0.0111497  
