# ra            dec          z          
  135.1005402   25.614748    0.0060984  
  175.0771027   9.0098839    0.0061147  
  238.551178    14.6071835   0.0061956  
  169.5352325   54.8412971   0.0063241  
  182.4470978   58.8492661   0.0063327  
  178.1140594   34.8944626   0.0073511  
  221.8376007   48.90131     0.0074466  
  122.7858505   46.4666786   0.0075384  
  212.6019745   16.112524    0.0076841  
  190.5716095   42.5211334   0.0079663  
  197.1563416   54.0744286   0.0082121  
  186.4016418   50.3370514   0.0082558  
  186.299942    54.506237    0.0084072  
  224.8947144   32.8413734   0.008696   
  164.6565247   9.0504522    0.0087524  
  167.7369232   53.3878212   0.0094987  
  195.7746429   3.9918907    0.0095474  
  197.8475494   3.4110396    0.0101227  
  217.6062775   35.3210297   0.0104899  
  216.1270905   57.1377525   0.0105685  
  170.5276184   57.9126663   0.010589   
  177.5518494   45.4786339   0.0106052  
  219.6468811   52.7065125   0.0111495  
  262.0058899   57.5218925   0.0111618  
  166.9861908   8.0013504    0.0111912  
  128.4860687   26.972662    0.0117496  
  142.1564331   38.5392418   0.0121416  
  219.7084045   30.4425259   0.0124192  
  197.6144562   18.4381657   0.0124487  
  169.1616058   15.727354    0.0126197  
  138.3057404   3.2305007    0.0126475  
  20.3388481    0.0903822    0.0126589  
  126.3764648   37.5002785   0.0127692  
  216.550827    48.5640144   0.0129176  
  246.5706329   16.3201199   0.012947   
  242.8091888   51.1925011   0.012983   
  188.9659729   38.376133    0.0130066  
  10.391221     -10.02143    0.0131189  
  131.6688538   2.4080215    0.0132459  
  179.3802948   21.2256699   0.0135548  
  185.995224    48.7795486   0.0137453  
  139.1833801   59.7747231   0.0137742  
  171.1680298   14.9465075   0.0138639  
  139.6476746   44.5969009   0.014213   
  192.3966217   25.4642887   0.0142222  
  154.6554718   3.2636042    0.0144381  
  208.0173645   -2.2066169   0.014504   
  142.4102631   35.3403587   0.0145209  
  235.3536682   11.9849739   0.0145334  
  348.6380615   0.2359857    0.0146505  
  144.7831726   34.0063171   0.0147195  
  158.930481    29.591938    0.0147371  
  259.7226868   30.1933937   0.0148327  
  206.6147919   50.6440735   0.0148633  
  137.3486481   22.5139294   0.0148948  
  209.230896    14.1422424   0.0150228  
  188.849884    29.4920845   0.0152429  
  220.4289703   5.9527483    0.0152779  
  239.5332489   12.0702868   0.015607   
  143.2161407   12.2870331   0.0156412  
  198.6918793   53.8204193   0.0157173  
  219.1613312   41.0791168   0.0158138  
  228.0093842   21.2981663   0.015879   
  195.797699    48.7853203   0.0160718  
  145.2422028   47.6204338   0.0160934  
  255.3675995   63.6912003   0.0161949  
  182.8894501   57.7375488   0.0162514  
  141.1571655   49.357151    0.0162639  
  209.1439972   10.1911955   0.0162862  
  145.7856445   21.1823616   0.0164097  
  178.1583862   24.3075809   0.0164547  
  133.6454315   57.1667938   0.0168655  
  198.9462891   31.8464222   0.0169758  
  201.5450897   40.0669594   0.0171568  
  209.1573792   36.2460938   0.0171889  
  165.6387177   -0.2910177   0.0172413  
  241.2075958   8.4810905    0.0173978  
  123.3263474   34.9324989   0.0174431  
  127.2192764   58.2040024   0.0177094  
  170.3986816   18.4585762   0.0178703  
  189.0004425   54.2210236   0.0178725  
  162.0584869   13.2170162   0.0182776  
  186.4172668   20.5284653   0.0182894  
  163.0282745   -0.5607994   0.0184664  
  210.868927    32.6977119   0.0189684  
  226.0125732   52.929409    0.0191074  
  227.740036    52.4585342   0.0192321  
  171.1879272   22.8719082   0.0192906  
  188.6695557   44.3955612   0.0193249  
  144.8693085   33.8489647   0.0193798  
  119.8216476   24.4520512   0.019451   
  233.9687653   14.5177279   0.0194578  
  129.5440063   18.6917915   0.019544   
  245.1005554   46.2833481   0.019565   
  182.744812    43.2493973   0.0196826  
  178.4165344   43.4609413   0.0196903  
  143.0683289   12.093874    0.0197487  
  118.6036682   39.371521    0.0198504  
  146.2378998   16.707449    0.019871   
  322.6078491   -0.4742926   0.019894   
  146.0432892   2.4103131    0.0199409  
  257.1738892   61.1080627   0.0200244  
  233.1611938   10.4531212   0.0200459  
  153.3033142   14.8809252   0.0201003  
  124.1046753   43.9718437   0.020107   
  215.1791534   13.696104    0.020284   
  212.9727173   38.1938438   0.020447   
  262.4972229   60.3503342   0.0204825  
  153.1580505   22.2918396   0.0205683  
  168.471817    4.8017335    0.0206212  
  173.080719    55.9228516   0.0207176  
  167.7643433   19.1915932   0.0208081  
  148.9795074   -0.1902836   0.0209469  
  177.0139771   30.3593273   0.0209802  
  152.0196228   22.2241077   0.0210299  
  174.9373016   37.0001335   0.0210624  
  228.5921326   22.908493    0.0211038  
  222.2749023   22.1981659   0.0211582  
  48.4492722    0.6943642    0.021201   
  173.0803986   34.952774    0.0213096  
  122.7789459   36.5986977   0.0214923  
  245.6009979   47.7317085   0.0214979  
  227.5223541   9.7230005    0.0215248  
  121.2674789   29.7227077   0.021527   
  206.7060547   14.4004955   0.0215588  
  153.6401215   29.3185539   0.0216573  
  223.7493591   62.2759972   0.0217091  
  227.2290649   10.803462    0.0218073  
  194.8365631   14.7880363   0.0218459  
  2.7637153     -9.6511755   0.0218976  
  38.7018356    -7.6835923   0.0219858  
  164.5677338   4.5835848    0.0220177  
  234.5884247   33.184742    0.0220452  
  178.8293304   67.4025955   0.0221454  
  177.26828     27.3342266   0.0222581  
  194.3227539   59.0674248   0.0222654  
  119.6921616   50.459816    0.02236    
  146.4390869   33.8702393   0.0224315  
  162.0476837   33.1923409   0.0225224  
  196.5064545   -0.9977741   0.0226538  
  229.5484314   14.5993681   0.0226962  
  140.9830017   30.6914616   0.0226993  
  190.6982727   33.2877159   0.0227293  
  195.2270813   -1.3466449   0.0227401  
  186.7478027   22.639576    0.0227601  
  155.6017151   3.9973507    0.022865   
  44.1130409    0.8757407    0.0228868  
  190.2234802   1.0083548    0.0229075  
  231.271759    19.834816    0.0229227  
  156.7158203   41.8886185   0.0229517  
  156.0362244   13.5729303   0.0229649  
  197.9031067   31.5080624   0.0231117  
  201.5698395   58.6833687   0.0231402  
  189.7761078   -2.5082047   0.0232452  
  191.1091309   37.1212082   0.0232525  
  194.2620392   31.625536    0.0232967  
  150.9989929   14.4240246   0.0233105  
  210.659668    18.5231133   0.023522   
  207.6490936   28.1495914   0.0235449  
  139.2060699   27.4895916   0.0235917  
  195.8171692   50.6208305   0.0236187  
  203.3106079   17.1240368   0.0236615  
  196.5874023   53.3065224   0.0236678  
  186.4558716   50.0959778   0.0237106  
  199.7629242   39.5893288   0.0237311  
  198.1708374   53.7148094   0.0239484  
  201.7995758   55.4872513   0.024011   
  161.159317    56.3697166   0.0240542  
  202.603714    39.9971962   0.0241075  
  195.661438    45.4436989   0.0241322  
  235.9953918   19.2115269   0.0241533  
  241.1865387   49.4583855   0.0241639  
  206.6339111   64.390358    0.024178   
  155.3864441   22.5463657   0.0242147  
  194.2360382   38.6395073   0.0242792  
  173.9024353   43.4768906   0.0243044  
  173.2189941   43.5149689   0.0243345  
  187.9892731   -2.8663986   0.024349   
  115.1776657   23.6262283   0.024494   
  205.7661591   16.7054672   0.0245071  
  147.7342682   62.1858025   0.0245573  
  155.6710052   20.8591461   0.0245932  
  157.9376678   46.6716919   0.0247623  
  195.7268066   23.6571846   0.0247763  
  249.284256    17.3417988   0.0248626  
  237.7557068   23.0157661   0.0248879  
  171.5739746   46.9741249   0.02489    
  146.9934235   54.0147934   0.0248981  
  229.500351    13.5265198   0.0249318  
  154.6608887   48.3959618   0.0249529  
  201.9480438   25.4495831   0.0249925  
  134.976944    20.5999317   0.0250232  
  243.9038086   28.1585979   0.025046   
  154.0849304   54.4798164   0.0250912  
  248.2953644   -0.2132673   0.0251724  
  197.7104797   49.8928185   0.025183   
  201.9465332   51.1376266   0.0252911  
  190.7049561   10.3574638   0.0253142  
  244.9052582   12.4052725   0.0253365  
  251.8394623   44.702755    0.0254041  
  184.6191101   17.2663021   0.0254702  
  124.0033188   27.0758877   0.0254964  
  166.6062164   37.7390633   0.0255121  
  55.5539627    -0.3542439   0.0255554  
  216.7292786   48.0999069   0.0255561  
  355.4906311   15.2353773   0.0256091  
  162.1841888   26.053648    0.0256851  
  14.4433603    -9.2189255   0.0256959  
  130.4710999   32.868145    0.0257004  
  162.9664001   22.238945    0.0258542  
  167.1458282   51.9248085   0.0258805  
  164.5249481   0.4121512    0.0259476  
  154.8260651   43.3490715   0.025969   
  189.8993988   16.5878181   0.0259894  
  170.271637    25.5739403   0.0260186  
  235.5502625   6.6448259    0.0261069  
  223.7827606   51.0203018   0.0261796  
  158.8298035   47.6400337   0.0262544  
  235.1552887   20.5623207   0.026336   
  141.1807861   48.2868576   0.026408   
  150.7219696   16.4491215   0.0264351  
  148.8416901   44.4405403   0.0264594  
  325.9637756   -0.3214169   0.0267432  
  135.030426    29.6327629   0.0267619  
  310.2170105   0.6527387    0.0267675  
  129.5696411   31.8173561   0.0267876  
  127.6320038   18.2061005   0.0268904  
  143.4712219   30.4040203   0.0268956  
  162.9496613   10.8662119   0.0269176  
  195.0749359   34.9440308   0.0269376  
  235.139389    17.1279621   0.026963   
  191.6119232   50.7921295   0.027      
  10.1210728    -10.3054991  0.0270175  
  219.7428741   47.3079109   0.0270297  
  218.2094574   1.5424762    0.0270678  
  205.5473785   29.8956413   0.0272393  
  196.7644653   13.6370106   0.0272489  
  196.7624664   13.0748205   0.0272791  
  260.789978    63.9079399   0.0272804  
  176.3448334   18.6561813   0.0272808  
  195.5267029   59.721241    0.0272931  
  126.4746323   39.1860123   0.0273368  
  202.751709    42.8368073   0.027411   
  195.64888     41.3233681   0.0275161  
  133.4701691   21.9775772   0.0275572  
  139.2203064   43.7137642   0.0276651  
  217.3476257   45.0720367   0.0277834  
  314.6072388   -5.8128481   0.0278017  
  261.5572815   62.1495399   0.027828   
  166.6806793   31.7412319   0.0279099  
  251.0216675   43.0088272   0.0279323  
  141.0045776   5.2093902    0.0279441  
  150.1979218   44.85112     0.0279939  
  132.8305359   53.936451    0.0280475  
  159.3731232   60.0031395   0.0281504  
  118.5518723   36.6565819   0.0281587  
  125.4320068   16.2115593   0.0282236  
  145.9547729   30.5460739   0.0282244  
  196.0862122   45.056633    0.0282647  
  185.148407    52.2576866   0.0282898  
  201.5284424   21.9394073   0.0282995  
  153.7455902   7.8006854    0.0283043  
  197.3789825   60.102726    0.0283119  
  136.7141418   37.6428833   0.0283175  
  209.4690552   23.0899105   0.0283769  
  126.6215286   22.2611771   0.028463   
  156.9617615   2.6094401    0.0284743  
  149.9246826   39.6573792   0.0284973  
  221.747879    7.892426     0.0285103  
  117.2395172   17.5771103   0.0286624  
  152.9278412   4.8173609    0.0286946  
  207.4967041   35.2538986   0.0287385  
  173.0932922   57.2549019   0.0287494  
  172.3449554   55.31847     0.0287678  
  246.831955    15.9978838   0.0287933  
  142.6204376   16.3620205   0.0288095  
  224.1164703   2.2068839    0.0288568  
  119.036087    17.3806782   0.0288874  
  203.6741943   50.4642792   0.0289086  
  128.0597534   19.6222191   0.0289725  
  48.5822372    0.8093889    0.0290121  
  126.8836594   36.1454163   0.0290758  
  168.4474487   45.5399132   0.0290868  
  121.3077698   46.3316612   0.0290896  
  147.6770935   30.4928341   0.0291268  
  158.7962799   42.7704315   0.0291478  
  254.5279999   39.3196106   0.0291495  
  166.144455    4.5876479    0.0291577  
  202.5457458   59.995472    0.0291733  
  186.7821198   -1.3541857   0.0292381  
  215.1836853   8.9840021    0.0293316  
  149.3155823   33.9763184   0.0293477  
  231.1505127   54.7480202   0.0293749  
  197.5913239   3.5347686    0.0294109  
  156.0073395   44.841774    0.0294337  
  166.1551514   28.2279549   0.0294457  
  164.1101379   60.6922302   0.0295234  
  229.1638184   38.755722    0.0295318  
  229.5890808   58.1121407   0.0295791  
  229.86203     -0.9238933   0.0296168  
  135.796875    10.1519842   0.0296254  
  256.1027222   33.375885    0.0296443  
  131.1251068   11.182682    0.0296702  
  200.7107086   51.7384109   0.0297117  
  141.9599915   58.542923    0.0297805  
  131.6578369   11.4321489   0.02979    
  8.7856293     -0.133687    0.0298495  
  160.7094727   25.771204    0.0298698  
  131.5051575   12.7867355   0.0298801  
  148.5131073   58.4021835   0.0298848  
  205.3447266   56.0711021   0.0300375  
  140.6229095   47.2624817   0.0301891  
  215.3045502   29.9935055   0.0302143  
  155.1395111   14.3127842   0.0302591  
  172.4108734   35.5146523   0.0303371  
  121.4472656   22.9096832   0.0303688  
  145.9477997   0.4653027    0.0303838  
  217.0417786   -1.6768149   0.0304844  
  258.0568848   30.1678352   0.0305292  
  227.5659943   58.1785965   0.0305338  
  258.3880615   33.6623421   0.0305475  
  162.9162445   37.526989    0.0306267  
  257.553009    30.3082085   0.0306981  
  146.2998505   -0.1199961   0.0307035  
  117.4124756   42.9670563   0.0307213  
  163.5520782   37.538578    0.0307227  
  184.7085419   64.35289     0.0307842  
  190.4503021   47.7088966   0.030791   
  173.1892853   40.8425674   0.0308437  
  222.6174774   26.0911751   0.0309131  
  234.8087463   1.1948984    0.0309366  
  204.2202911   60.7960701   0.0310816  
  159.6309052   58.7855415   0.0311644  
  131.7862244   19.6310463   0.0311827  
  20.0113869    14.3618364   0.0311998  
  238.8675537   34.1778488   0.0312206  
  181.3700562   46.7797432   0.0312395  
  257.7120667   61.3250008   0.0313179  
  136.2075958   8.0374918    0.0313353  
  255.291214    20.6733322   0.0313759  
  129.5839539   32.9444275   0.0314158  
  237.7110291   22.2386856   0.0314253  
  203.1010132   11.1062737   0.0314424  
  237.3043976   31.1024246   0.031452   
  199.5389709   0.2228435    0.0314912  
  241.8202057   26.2744179   0.0315611  
  167.4866943   13.458005    0.0315619  
  199.9954071   29.4274387   0.0315791  
  163.0486145   58.4382095   0.0315815  
  203.6860504   1.7050916    0.0316418  
  150.2699585   59.8236923   0.0316631  
  225.2361755   11.5173969   0.0316748  
  235.5911713   2.4674652    0.031783   
  169.3169403   19.9009647   0.0319158  
  164.7415314   58.1337814   0.0319167  
  152.4633636   3.5473545    0.0320104  
  135.8544617   20.6674004   0.0320491  
  231.9834137   4.5967231    0.0320674  
  191.8396149   28.0062199   0.0320766  
  141.2520905   54.0912857   0.0321534  
  185.7046967   66.862648    0.0321924  
  124.4693298   12.897994    0.0322303  
  193.6931915   39.5712585   0.0322385  
  222.234436    22.1419621   0.0322696  
  345.1192932   -10.379343   0.0323521  
  155.8414612   9.9374638    0.0323585  
  164.9572754   49.5679474   0.0324246  
  155.4013824   6.0259342    0.0324296  
  196.4209442   33.1788979   0.0324317  
  242.2770233   24.8704185   0.032472   
  184.1618805   46.8397369   0.0325129  
  154.9473419   34.3240662   0.03252    
  182.977829    58.6371422   0.0325778  
  246.72789     47.4340019   0.0326206  
  154.400177    31.5511093   0.0326292  
  251.1595306   20.7015228   0.0326812  
  254.6252136   25.3902721   0.0326953  
  174.9169312   62.6010666   0.0327673  
  181.5611877   61.9073029   0.032802   
  179.2362366   62.1720161   0.0328547  
  4.2288289     -0.0882221   0.0328875  
  156.8675079   2.9126573    0.0329088  
  147.943924    27.5460987   0.0330407  
  229.9619141   5.1327806    0.033055   
  165.9942474   10.1063528   0.0330721  
  144.3360596   25.8984261   0.0330944  
  150.4679413   44.4774208   0.0331378  
  232.1258087   5.1859136    0.0331459  
  236.071701    2.111855     0.0331485  
  192.9422302   34.9774551   0.0331624  
  244.7830963   40.5067596   0.0331683  
  173.8349304   28.3908844   0.0332058  
  217.4948883   39.9406319   0.0332646  
  259.4521179   58.0553246   0.0332787  
  332.9704895   0.1087146    0.0332929  
  185.9440765   36.1527863   0.0333242  
  188.2874603   27.0943775   0.0333641  
  6.1298776     -0.922875    0.0334289  
  172.3105011   31.9282684   0.0334797  
  162.4875336   9.0665474    0.0334812  
  207.3170013   18.4119873   0.0335162  
  221.3196259   15.8379087   0.0335893  
  213.4414062   34.0378227   0.0336368  
  172.8417816   32.7063293   0.0336388  
  184.1513062   17.4906578   0.0336743  
  185.2935028   25.2217712   0.0336935  
  241.7779999   52.1333237   0.0337262  
  316.0170288   9.9176073    0.0337875  
  209.0905914   4.6016941    0.0338006  
  143.2445526   27.5000782   0.0338059  
  139.88797     5.8827624    0.0338245  
  145.6116333   23.6540852   0.0338327  
  172.7108917   52.2077675   0.033837   
  221.0145569   1.42E-5      0.0338697  
  215.7682953   38.1423187   0.0338767  
  217.7052917   -2.0781336   0.0338796  
  242.1365204   9.6067133    0.0338984  
  160.0647888   65.4920502   0.0339116  
