# ra            dec           z          
  231.5231628   9.2041616     0.0063309  
  241.4412384   41.344738     0.0066421  
  134.7776794   53.7582207    0.0076004  
  216.9026947   41.2576637    0.0089175  
  236.7453613   17.8841839    0.0109769  
  174.4519653   22.6912823    0.0118462  
  134.241684    52.0660019    0.0125876  
  133.6695709   20.5836105    0.0126285  
  138.2592316   49.6395302    0.0132934  
  213.1713867   30.8550358    0.0144554  
  150.9169769   47.706131     0.0147384  
  241.3993683   16.5262089    0.015539   
  226.6740417   23.641922     0.0162159  
  148.123642    2.1544528     0.016646   
  122.2617416   50.1787682    0.0167758  
  216.0965576   13.7984409    0.0168185  
  211.149826    15.4727764    0.0170822  
  137.8668976   64.4754105    0.0176495  
  213.1684875   1.7542529     0.0176715  
  209.3287354   15.4584198    0.0182994  
  171.926712    55.9212494    0.018776   
  212.1374054   11.8162241    0.0190411  
  211.0955963   11.7357969    0.0200132  
  223.7484131   18.0373344    0.0202346  
  123.2653427   24.5670013    0.0204859  
  203.740509    38.4575043    0.0205438  
  136.7074585   26.2754593    0.0206082  
  199.0612183   41.4944572    0.0207451  
  128.1681366   19.5114021    0.0211047  
  231.2683411   4.8298259     0.0215107  
  184.8977356   -2.8306074    0.021523   
  194.5416412   24.3489265    0.0226108  
  199.9027863   -2.9120545    0.0227259  
  192.9834747   -2.0775623    0.0228804  
  216.8985138   2.954484      0.0236732  
  236.6395416   41.9175835    0.0240407  
  230.400238    14.3844337    0.0247179  
  212.0354462   -1.7022933    0.0249541  
  213.2787018   3.7163382     0.0255418  
  143.3183136   23.1348934    0.0255909  
  143.6897278   13.8160143    0.0256702  
  203.6246643   38.2941399    0.0257495  
  197.2960815   52.0209885    0.0257783  
  185.1968231   17.0160313    0.0258527  
  210.0186462   58.370388     0.0262886  
  151.2845001   44.513958     0.0263223  
  162.9737701   10.0992823    0.0263935  
  217.8249054   7.9446359     0.0268959  
  210.4421387   18.8077087    0.0275874  
  320.8764038   -7.7459698    0.027672   
  238.7680969   45.4856529    0.0278644  
  254.2217865   41.6165504    0.0281449  
  233.2897034   -1.8660181    0.0282097  
  195.7882538   54.616642     0.0283369  
  164.0488739   46.8806763    0.0285898  
  120.6201859   20.5139809    0.0286278  
  170.2923126   5.3634934     0.0288433  
  179.9523315   29.6406918    0.0289991  
  222.4198151   35.6903038    0.0290129  
  129.2771454   41.4563217    0.0291456  
  141.2478333   65.4662247    0.0293511  
  222.1114655   34.9980583    0.0294202  
  219.306778    19.4219341    0.029869   
  138.9302063   15.2197037    0.0299744  
  129.4722595   12.7805347    0.029978   
  323.7516174   -0.5114489    0.030156   
  219.5949554   18.1112175    0.0303186  
  123.4486465   37.0503731    0.0306034  
  127.0458069   10.5406694    0.0307334  
  187.3819122   33.4266281    0.0309586  
  122.2718277   55.4424934    0.031291   
  197.9531097   10.6021833    0.0314752  
  222.7777863   37.4948006    0.031601   
  248.4567413   39.2631989    0.0317611  
  165.7187805   4.000124      0.0318094  
  236.624939    32.1172791    0.031941   
  179.3612823   7.4609251     0.0320859  
  227.0344086   26.9160004    0.0326291  
  247.3773651   13.0834332    0.0327352  
  155.2425232   6.6418066     0.0327782  
  162.1171722   38.2940521    0.033217   
  166.2884216   -0.7970066    0.0334938  
  204.5414429   60.273056     0.0335573  
  223.5926361   27.7013245    0.0336489  
  164.4028931   44.0713654    0.0336741  
  238.5135956   17.2108116    0.0341729  
  147.1041412   22.3625145    0.0342063  
  208.9549866   35.1506348    0.0345414  
  208.4190369   56.1345634    0.0354013  
  197.2969208   46.316227     0.0354258  
  226.4453125   -0.7149153    0.0354579  
  225.273468    0.5304738     0.0355229  
  150.7656097   12.9499569    0.0356538  
  259.778717    65.7323456    0.0356667  
  119.0026093   14.1957502    0.0356731  
  208.6770325   65.2443848    0.0357842  
  310.0940552   -6.3589268    0.0359109  
  201.4399109   46.1616287    0.0363953  
  214.3864136   8.8555679     0.0365604  
  221.9546814   47.8095818    0.0367806  
  199.7033386   12.3972015    0.0367866  
  220.8093262   16.4883156    0.0369439  
  180.2303467   23.8158703    0.0370766  
  180.1316986   38.6111107    0.0372532  
  222.8886719   45.4384575    0.0374278  
  244.4401398   6.0648723     0.0378767  
  155.2516785   27.237812     0.0382582  
  227.6499176   54.3874474    0.0383522  
  206.0349731   45.3413239    0.0384832  
  241.5836945   39.2441063    0.0386913  
  135.0299835   60.0828743    0.0390083  
  220.8559113   58.8877487    0.0390688  
  145.618042    62.4495468    0.0395547  
  245.7623901   26.5382309    0.0396928  
  231.9775848   54.2698669    0.0399267  
  124.1869202   27.5918808    0.0399893  
  211.807251    45.8900261    0.040191   
  181.2129974   63.1315498    0.0403837  
  149.8283539   52.2571449    0.0404894  
  191.6389618   43.7427521    0.0405282  
  120.0046768   28.7417545    0.0407727  
  120.0975266   54.964016     0.040926   
  197.6862946   0.032089      0.0410011  
  132.8991852   39.5897522    0.0410222  
  238.2473145   8.0164738     0.0410322  
  129.1250763   38.1434097    0.0410962  
  4.9236779     0.3756775     0.0412699  
  240.8691101   0.0363121     0.0414214  
  170.6893921   7.5204167     0.0415198  
  346.9539185   0.940523      0.0418516  
  157.9611511   20.9255962    0.0419639  
  10.6535854    -10.8227892   0.0419947  
  162.6966705   6.0985217     0.0420034  
  139.151123    25.30266      0.042782   
  113.6337128   41.2152481    0.0427959  
  202.364624    55.7212334    0.042817   
  217.9678192   54.7219925    0.0428642  
  181.5334167   37.3259468    0.0437276  
  156.4285889   45.3478584    0.043826   
  110.904213    41.6955299    0.0438587  
  157.4359741   40.4938469    0.0439127  
  206.8139801   62.4696617    0.0439556  
  202.9037018   61.6283569    0.0440933  
  126.5225372   13.0093346    0.0443355  
  133.4642944   29.9511223    0.0444355  
  226.8504333   34.0761147    0.0444848  
  182.6186218   27.5172501    0.044559   
  233.449173    10.7799006    0.0445989  
  333.0724182   0.2681965     0.0447578  
  125.9123383   55.962986     0.0449966  
  185.1700287   19.1067734    0.0450114  
  173.7958984   20.5847187    0.0452069  
  172.8283539   42.8129234    0.045243   
  193.5619965   9.441514      0.0452982  
  167.4572296   32.4464798    0.0453241  
  190.1459351   2.4681432     0.0457473  
