# ra            dec          z          
  148.8799896   -0.4672394   0.0322071  
  148.1830292   -0.0583057   0.0456534  
  149.6134644   0.3824788    0.0564784  
  147.4567261   1.0925777    0.0348016  
  147.3294983   0.0289008    0.0480858  
  188.0641327   65.7623138   0.0467712  
  190.3941498   65.7183228   0.0385669  
  126.4453354   49.5734711   0.0237579  
  132.2849731   53.7801285   0.0245308  
  258.5376587   58.8184052   0.0297835  
  257.9737854   60.9660454   0.0260769  
  172.8694305   -1.8426259   0.0431587  
  151.9926453   1.2689862    0.0451573  
  148.8004608   1.7608718    0.0348952  
  150.9871368   1.512375     0.0249048  
  148.5445404   2.2871952    0.0245628  
  152.0626221   2.3424041    0.0591027  
  162.5718689   3.5126035    0.0220224  
  228.19133     -1.1953455   0.0368888  
  166.6977844   -0.9241485   0.0382484  
  168.010788    -0.1748232   0.0248785  
  164.6456299   0.2923876    0.0422843  
  19.0861664    14.2287626   0.0733319  
  263.8273926   56.6972847   0.0156441  
  211.6583862   3.748759     0.0405437  
  200.4662933   0.1393775    0.0346588  
  203.161911    0.8704756    0.0344385  
  220.4096832   -0.4581942   0.0395731  
  200.3461609   0.3424203    0.0184246  
  159.261322    62.5254364   0.0235698  
  200.8783112   -0.0753033   0.0634838  
  204.1039734   -0.1219648   0.0394865  
  251.1186981   43.9845085   0.0176379  
  220.8427429   1.098119     0.0381441  
  222.4688568   1.4605252    0.0488257  
  158.3325958   -0.6016166   0.0505037  
  159.0234222   -0.5188428   0.0358725  
  155.630722    0.6930309    0.0336773  
  160.4724121   0.7932177    0.0187966  
  161.9100494   0.7429329    0.075632   
  116.1520386   38.0444221   0.0267595  
  114.8973465   37.7515182   0.0305262  
  116.1077728   39.642643    0.0408792  
  116.8477707   39.1959152   0.0255748  
  200.6453705   -0.6797189   0.0454527  
  135.539505    1.226055     0.05696    
  139.2084656   0.5727128    0.0283994  
  198.947113    -0.4622964   0.0472608  
  199.7389221   -0.1983096   0.0535471  
  199.4884949   1.1865252    0.0735979  
  6.6400218     -10.779109   0.034633   
  3.3364558     -9.9226828   0.0273107  
  359.1882324   -8.9695835   0.0497368  
  208.6412201   -0.7766127   0.0270773  
  184.4684753   -0.3621208   0.0403228  
  183.422287    0.1965177    0.074641   
  232.722702    0.9942176    0.0298201  
  179.4025574   1.1407747    0.0362036  
  61.4059525    -5.3152685   0.0325244  
  133.5057526   0.5589808    0.0575965  
  232.2055359   1.9575497    0.041117   
  229.7030792   2.4396577    0.0529207  
  184.4703827   -0.6572275   0.0296122  
  185.9914093   0.8777133    0.0620602  
  188.2751617   0.7783335    0.0312071  
  184.072937    66.2253799   0.032486   
  138.8377991   54.9989014   0.0294641  
  137.3309784   54.911972    0.0081421  
  133.1004639   52.9989548   0.041412   
  131.2311707   52.4841499   0.0407073  
  132.4546204   51.0939064   0.0447394  
  198.89888     0.4922082    0.0102073  
  177.984024    -2.6424186   0.0129281  
  185.514328    -2.6167302   0.0184274  
  176.732254    -3.1446166   0.0628152  
  180.7945404   -2.8759978   0.052211   
  178.978775    -1.6033438   0.064254   
  221.0032501   62.2151604   0.0375508  
  221.1960907   62.7631912   0.0375461  
  179.7718353   1.9099241    0.0473838  
  217.0438843   -0.6846115   0.0551704  
  213.375       0.1858439    0.025743   
  216.4861603   0.6129348    0.0554183  
  216.5540924   0.8605807    0.0318209  
  247.5113831   43.8249054   0.0315228  
  245.9033051   46.8563156   0.0533026  
  122.5394516   47.0019226   0.0401966  
  249.0146332   45.7465553   0.0308912  
  197.859787    -0.2497322   0.012773   
  195.1272888   0.4801245    0.0681778  
  197.0128632   0.9599187    0.0419697  
  196.4224548   1.1899098    0.0442331  
  139.1394043   55.7494507   0.0483783  
  145.0883484   59.9048195   0.0302414  
  147.1733246   59.2609901   0.0074437  
  235.7209778   1.5426843    0.0540459  
  233.9130859   2.4269202    0.0232696  
  36.3421288    -7.8517008   0.0392613  
  136.4517517   51.103569    0.045503   
  213.2552032   -1.1241018   0.0768618  
  211.4746704   -0.7454163   0.0592591  
  140.3072815   -0.230443    0.0549046  
  143.5015717   2.4772756    0.0163151  
  217.7673492   -0.9191041   0.0253317  
  22.926178     13.5821609   0.0441783  
  21.8549938    14.0545425   0.0236139  
  203.8523102   1.4105929    0.0174535  
  231.3486481   -0.709978    0.0381603  
  227.9041748   -0.2729484   0.0502477  
  230.1023102   -0.2252261   0.0287005  
  227.5645752   0.0402979    0.063027   
  229.9385376   0.8792905    0.050422   
  226.9138336   -0.1094638   0.0383857  
  227.2543793   -0.1658999   0.0345208  
  227.5254974   -0.1004111   0.0543662  
  229.1622772   -0.0405996   0.0373337  
  229.774353    -0.0324365   0.0261001  
  176.7290802   66.1616592   0.0412999  
  169.9095459   66.1115952   0.0387755  
  177.4857941   66.518013    0.0401528  
  177.9417267   66.677002    0.055336   
  178.0840302   66.5448685   0.0481489  
  169.2865143   67.2428207   0.0434804  
  177.2292786   66.3290253   0.0218779  
  179.1045837   68.1789169   0.0483053  
  28.1850414    13.1925611   0.0261784  
  29.5384827    13.0537882   0.0566595  
  253.3218689   62.3763657   0.0520716  
  257.4744263   62.722084    0.0327165  
  256.7568359   61.1980515   0.0275482  
  226.0936127   59.125412    0.0272905  
  113.8216171   37.0194321   0.0618819  
  112.4762344   37.4517517   0.0356307  
  113.0765533   38.5366669   0.0454905  
  220.5075073   63.3306999   0.0409377  
  55.7465706    -6.929327    0.0505938  
  56.6123734    -6.5312557   0.0281231  
  356.7018433   -9.7400923   0.0341495  
  173.0384827   -0.9425845   0.026132   
  243.2072906   49.580265    0.0525295  
  240.352417    55.0222282   0.0367987  
  241.90242     53.9583969   0.0297046  
  243.0942383   52.9744606   0.0477761  
  238.489212    0.6880895    0.0386277  
  199.5419769   -1.2436732   0.0191508  
  239.3466339   0.1836434    0.0510903  
  237.600708    0.5691885    0.0548313  
  240.1367645   0.4985935    0.0355655  
  123.9607544   45.6540794   0.0434608  
  124.1205902   45.6377525   0.0226221  
  124.3570328   45.5812035   0.0432107  
  124.5059586   47.8525581   0.0103678  
  123.1070099   47.5425873   0.053925   
  123.2082291   47.4426689   0.0395939  
  123.7315216   50.6626472   0.0372409  
  219.5687714   -0.3497446   0.0368981  
  222.84758     0.0070796    0.0231649  
  218.6905975   0.8886718    0.0140004  
  221.895401    -0.515793    0.0344117  
  223.3689117   0.8339924    0.0348663  
  197.744278    1.1451495    0.0356789  
  195.8166351   1.4686216    0.0410258  
  200.2339325   1.5036871    0.0202355  
  196.4922333   1.7925353    0.0217835  
  193.835083    -3.0246353   0.0245236  
  195.9492493   -3.5128365   0.0727226  
  199.2090759   -3.0627222   0.0476576  
  195.7855225   -2.855463    0.0734452  
  193.5282745   -2.4559557   0.0528344  
  156.2081604   63.8560944   0.0365815  
  159.3832855   65.0182648   0.022491   
  150.9814758   63.5864525   0.0236834  
  153.7372131   64.3630371   0.0229174  
  170.3632355   65.7687683   0.0499987  
  156.3485413   64.9986954   0.0296096  
  165.8616638   66.6697006   0.0333292  
  345.0549927   -9.9442873   0.0176316  
  208.0623474   0.594757     0.0454138  
  156.9605713   2.1190729    0.0223725  
  159.7735443   2.2414565    0.0497701  
  152.1238708   2.1210389    0.0715877  
  217.8647003   3.4177542    0.0566054  
  219.8786621   3.3995533    0.0625134  
  230.9462891   -0.6397302   0.0373749  
  230.7452545   0.0989552    0.0583562  
  230.4077606   0.4660266    0.0286743  
  194.2513275   1.0285863    0.0092375  
  235.6404724   -0.5048176   0.0390154  
  234.2380371   -0.087819    0.0390361  
  236.0978394   52.5683823   0.0451927  
  158.2827606   62.2933006   0.043338   
  138.8102417   58.200016    0.0109198  
  141.9489746   59.1357117   0.0300519  
  234.1928253   56.9334106   0.0501279  
  135.0684662   58.3854065   0.0293887  
  140.6590576   60.8654442   0.0258865  
  189.8157654   1.9540663    0.0455367  
  11.8963928    14.1551275   0.038675   
  12.4646502    14.9203262   0.0565678  
  218.5707245   59.658165    0.0290049  
  219.8879395   62.0029221   0.0223535  
  248.0641785   -0.0499321   0.044017   
  245.3855591   0.0103372    0.0692158  
  122.3634567   43.9349251   0.0229631  
  121.0963821   43.5825768   0.0409014  
  120.3601227   44.1936111   0.0313725  
  120.0333328   43.4748344   0.0318393  
  120.7006989   45.0345459   0.038928   
  122.6991119   46.9122849   0.0104228  
  118.3285294   45.4620132   0.0633077  
  119.8048019   44.3201942   0.0316647  
  119.7851562   46.071991    0.0584436  
  117.1443329   44.688282    0.0203541  
  259.3087769   60.7961006   0.0313792  
  256.8384705   59.6997032   0.0652237  
  127.8452301   49.227272    0.0431419  
  130.7662964   51.3256531   0.0304809  
  195.145462    64.447113    0.0069714  
  127.5084229   49.6860657   0.0237925  
  128.9726868   50.5114212   0.051495   
  129.1306      51.4689636   0.0496544  
  128.9550629   51.5833015   0.04236    
  128.5167847   52.0020638   0.0097332  
  129.0464172   52.5187454   0.025044   
  127.9371185   52.3545227   0.0310135  
  127.4998779   52.6971931   0.0141564  
  128.6361237   53.2346153   0.0439673  
  141.2318573   55.8967018   0.0110285  
  131.8149414   51.2458267   0.0275416  
  134.6447906   53.1169128   0.0519081  
  134.2427063   53.5858078   0.0381916  
  130.3100128   52.1957359   0.0479382  
  134.5206146   55.342247    0.0416649  
  129.8759155   52.1676979   0.0307585  
  131.0413361   56.2569237   0.0466175  
  130.2354889   52.9378815   0.0590586  
  173.6811218   63.4431572   0.0422935  
  178.9910583   63.6601715   0.0202363  
  178.3845978   64.4434738   0.0410204  
  178.9786377   64.9285202   0.0407641  
  178.1550598   65.4424667   0.0205543  
  166.3969727   -0.1630189   0.0374521  
  325.9727478   -8.1252871   0.0193551  
  166.3742981   3.6599736    0.0252362  
  146.5562134   57.3665504   0.0452657  
  147.1286621   57.970726    0.0279488  
  156.0223541   57.9909782   0.0149958  
  157.2716217   59.1201324   0.0240419  
  246.5338898   47.9205971   0.0581783  
  245.412384    49.4488564   0.0323949  
  245.503067    49.5207939   0.049627   
  256.5646667   37.7852173   0.0230534  
  256.5645142   37.585331    0.0554027  
  256.9847107   37.1155815   0.0368307  
  259.3283386   33.4629784   0.0303602  
  260.9677124   30.5558834   0.0282627  
  225.3364868   1.7621205    0.0445013  
  226.3474426   2.1489506    0.0549763  
  26.6538696    14.6919575   0.0245983  
  251.8918152   43.6396179   0.0587681  
  200.092453    58.3313599   0.0698178  
  203.483017    57.8754349   0.0301712  
  194.6161499   59.4065819   0.0691248  
  196.5297699   59.2173386   0.0320061  
  201.7776337   58.5333824   0.0599495  
  200.2878113   59.1014671   0.0428617  
  144.9232788   55.6085281   0.0250621  
  135.8677521   51.9835014   0.02864    
  137.4328461   52.8213921   0.0572694  
  138.7407837   53.3864021   0.0289133  
  135.2451782   52.2756386   0.0625231  
  141.1573334   55.5867119   0.0364227  
  138.0248413   52.2527199   0.0469561  
  139.8098602   53.2285805   0.0365169  
  140.8993988   53.6019249   0.0255031  
  141.1232147   53.6938438   0.0458086  
  139.7104187   53.5541687   0.0612426  
  142.2866211   54.6836052   0.0450498  
  163.8025665   5.8625894    0.0116513  
  230.3709106   2.4185016    0.0779013  
  131.9508209   1.5344684    0.0629448  
  133.419693    1.5635004    0.0409101  
  159.5292511   2.833307     0.0646078  
  234.449585    3.0360487    0.0388713  
  235.2422791   2.9463415    0.0771862  
  230.1622467   3.6676364    0.0772081  
  234.8523712   3.4149187    0.0642329  
  62.5263824    -6.0516558   0.0577918  
  61.8052177    -5.4370852   0.0380447  
  355.7295837   14.7547703   0.0234362  
  357.700592    15.6511707   0.0346174  
  358.2388      15.7124538   0.0479501  
  359.4482117   15.6136808   0.0379699  
  132.1177673   1.3972552    0.0514542  
  158.8375244   3.5583837    0.0218569  
  160.6376495   4.0766892    0.0341055  
  160.9126129   4.9704809    0.0191873  
  161.6918335   4.8127608    0.0553723  
  163.0271912   5.0348396    0.0343244  
  198.036026    2.9892473    0.0102147  
  230.9390564   3.2468708    0.0505483  
  228.9452057   3.8055263    0.0400459  
  229.0305634   3.8013301    0.0417627  
  352.9317322   14.1520681   0.0419516  
  351.9285583   14.5447321   0.0310622  
  348.3619995   15.210104    0.0780622  
  206.738266    2.1144869    0.0486055  
  206.7810822   1.9128516    0.0249734  
  206.9737244   1.9136035    0.0416655  
  210.1907196   2.022037     0.01199    
  35.3192978    -7.8024282   0.0320581  
  121.83918     40.3983269   0.026358   
  120.2542496   39.5697021   0.0773568  
  145.4796448   1.3187382    0.0220288  
  142.5881042   1.682278     0.0576717  
  169.4863586   3.0450497    0.0631286  
  122.6158829   41.9496918   0.0436978  
  123.1016312   40.7437363   0.0234746  
  118.8553772   39.1860809   0.0331647  
  138.6304779   49.2826042   0.0293475  
  146.6460876   52.9169655   0.0361893  
  140.7204895   51.5454788   0.0223976  
  156.7839355   0.9656242    0.0344383  
  312.196106    -6.994391    0.041727   
  312.6137695   -6.7057033   0.0462327  
  318.6896973   -7.5234747   0.0650127  
  329.2181091   -7.37429     0.0273484  
  125.510437    44.4569931   0.0305184  
  116.8885193   37.3461418   0.0462213  
  125.4023132   45.5854759   0.051378   
  130.5759888   47.0780487   0.0237446  
  143.9220886   1.2298454    0.0480536  
  144.1633453   1.2503564    0.0260838  
  173.8164215   1.6387072    0.02538    
  146.9173737   1.600144     0.0305699  
  148.1157837   1.6892761    0.0740521  
  148.0443878   2.6234069    0.0511351  
  169.2941284   3.0278883    0.0343346  
  170.4167633   2.9639778    0.0319859  
  171.6087494   2.9327457    0.04981    
  172.1170197   2.9172177    0.0742016  
  321.2416382   10.8614407   0.0336257  
  40.2609787    -8.5018559   0.0418537  
  39.5109329    -8.0716219   0.0387557  
  39.6194954    -8.106061    0.0301888  
  43.1875877    -7.872776    0.0335174  
  40.6467819    -8.1650391   0.0448563  
  43.0299454    -8.0927296   0.0568201  
  144.2183228   3.1376276    0.0277706  
  123.7908478   3.4649055    0.0510427  
  137.9099426   2.9166231    0.0508042  
  141.5719299   3.1348751    0.013861   
  145.1923523   3.4127848    0.0731497  
  147.171524    3.3747227    0.0215799  
  31.6466389    12.5203104   0.0603115  
  148.9429321   3.4047832    0.0170667  
  154.0498199   3.6505597    0.0320162  
  146.5147552   4.4034448    0.0165718  
  148.8378296   3.1659007    0.051243   
  150.1699677   4.3389673    0.0334784  
  150.689209    4.4549222    0.0214496  
  344.4851685   -9.5825825   0.0249602  
  344.9715576   -8.7510967   0.0561711  
  346.7423706   -9.2861385   0.0237691  
  346.9857788   -8.7360735   0.0471867  
  161.3859863   2.1390259    0.0341522  
  219.1604919   3.1934555    0.0427867  
  222.9724426   3.3632548    0.0307653  
  222.7180634   1.1656907    0.027114   
  196.17453     2.9637191    0.0183797  
  170.533905    4.6928182    0.0208857  
  168.8849182   5.1849566    0.0446509  
  233.1012421   57.0950546   0.0397249  
  233.968338    57.9026375   0.0302266  
  152.6549225   54.8653641   0.061208   
  158.0307312   56.3613548   0.0241091  
  5.7616587     -10.554409   0.041292   
  7.1583252     -10.194109   0.057653   
  5.971251      -9.7867403   0.0268379  
  7.186687      -9.7381763   0.0348148  
  118.56147     37.8457794   0.0195572  
  118.0414963   38.0189514   0.0377954  
  117.2151642   36.3903694   0.0285111  
  118.5987396   38.6705513   0.0198451  
  178.0979919   3.9743979    0.0225513  
  177.3029175   4.33988      0.0692782  
  178.9566803   4.7660613    0.0354699  
  174.6521149   5.1937718    0.0732954  
  128.1394958   43.9792023   0.0372541  
  259.7954407   61.5422668   0.0275661  
  259.9926758   60.8918915   0.0271582  
  261.4408264   60.3148613   0.0504714  
  128.2947235   51.9983559   0.0744989  
  127.4114609   52.0763512   0.005848   
  118.0060349   44.0166473   0.034473   
  132.8318787   54.9420128   0.0382513  
  127.2880325   52.8185959   0.0484856  
  130.4664154   54.9777145   0.0258236  
  358.8170166   14.3754883   0.0359977  
  2.6995637     14.8503666   0.0419367  
  5.6859026     14.9497519   0.0251877  
  6.266705      14.970933    0.0367155  
  6.6454616     15.3235722   0.041881   
  353.7617798   -10.3048315  0.0331831  
  354.9094543   -10.3058939  0.0573339  
  355.1939697   -10.3531065  0.0569746  
  351.7117615   -9.9424505   0.0523934  
  355.3492126   -9.8981047   0.0234507  
  354.0195618   -8.9884605   0.0524236  
  159.8361969   3.3692398    0.054772   
  157.7789612   4.116591     0.0636249  
  154.6310883   4.8205023    0.0539049  
  154.8233032   4.7630658    0.0461101  
  157.5199432   5.0475264    0.0356014  
  156.2211609   3.8465967    0.0229902  
  156.6164246   4.263927     0.0653045  
  155.6299591   4.5824342    0.0285463  
  153.9997711   4.9547563    0.0320303  
  196.6386108   61.0218697   0.0373926  
  200.708786    60.7177277   0.0775866  
  195.8748016   61.4994354   0.026903   
  179.7346954   1.8614248    0.0665628  
  180.8872375   2.4929278    0.0772363  
  182.2978516   2.7255878    0.0370931  
  181.6967773   1.2860662    0.0411326  
  180.2055969   1.693724     0.0485151  
  183.4200287   2.1877158    0.0248509  
  20.774662     -10.4431715  0.0425379  
  24.3683453    -9.7357349   0.023388   
  323.4058838   -7.1606178   0.0684237  
  323.4732666   -7.1796937   0.063743   
  338.9916077   -8.7276077   0.0617689  
  322.5592957   -8.0669746   0.0294008  
  327.8539734   -7.9655094   0.058744   
  328.0577087   -7.8769317   0.0662397  
  323.6581421   -6.9117541   0.0603566  
  328.2970886   -7.5926623   0.0673727  
  163.5178528   60.9162445   0.0443126  
  135.5653687   3.1699324    0.0511301  
  136.7697449   3.1461318    0.0238919  
  136.9976196   3.1760585    0.0563263  
  140.4984436   3.3785419    0.0278903  
  201.8273621   59.502861    0.0164139  
  251.6812134   39.1738739   0.0396287  
  224.380127    1.5996842    0.0289521  
  226.8855438   1.9157596    0.0428042  
  254.0212555   34.0498466   0.0319221  
  251.3359222   42.7578011   0.0493123  
  167.4880829   2.0273869    0.0633307  
  162.491272    2.4074357    0.0405763  
  168.5943604   2.5754588    0.0296466  
  162.9430695   2.9081805    0.077273   
  167.891098    2.9576087    0.0425051  
  165.897583    3.3374252    0.0530992  
  324.8034668   -8.7194328   0.0604908  
  14.0083246    14.2303448   0.0397668  
  10.4483328    15.1590958   0.0650238  
  11.8764391    15.6970739   0.0314111  
  164.2351685   1.4806287    0.0673156  
  168.1355286   1.4504628    0.0289601  
  212.1365967   3.0243194    0.0175313  
  213.5096283   1.8478869    0.038831   
  218.8487091   1.8634659    0.051501   
  209.6900635   2.8442719    0.0163495  
  216.6338043   2.7516637    0.03939    
  231.088974    3.1735928    0.0310994  
  13.8709021    -10.635025   0.0449351  
  15.4269447    -10.4698334  0.030359   
  193.2401123   3.2954879    0.0652646  
  189.2602844   1.8191066    0.0450687  
  193.8147278   2.8966489    0.0092727  
  171.6510925   60.6558571   0.0438523  
  235.4143372   56.0822334   0.0461136  
  238.0092621   56.7124443   0.0461722  
  237.7541199   51.7872162   0.0296698  
  122.221283    39.5886688   0.0307663  
  138.532547    51.6306229   0.0380983  
  143.8869171   53.9581795   0.0481565  
  123.1137238   38.6204834   0.0516244  
  144.5886383   55.1069984   0.0364493  
  234.5018463   2.1987605    0.0673224  
  219.8075562   -2.2908852   0.0579414  
  117.2808075   29.924366    0.0549208  
  125.5004807   37.2561455   0.0598541  
  115.6207809   31.0988407   0.0420907  
  115.8699722   31.5667458   0.0273254  
  187.6007538   -0.4163265   0.0438098  
  209.563446    3.9983006    0.0300262  
  180.8953247   60.5313606   0.0139657  
  182.358139    60.5198288   0.0655199  
  181.0851288   60.8100624   0.0399633  
  207.9683838   3.4550288    0.029637   
  167.3869781   5.0971885    0.0500153  
  167.2878723   5.4710317    0.0462839  
  210.8207397   4.3631811    0.0462223  
  210.5683289   5.3052568    0.0635877  
  211.9906464   5.2190652    0.0796579  
  210.5507965   4.5857582    0.0402694  
  240.5649719   46.0864525   0.0349688  
  242.5626221   47.0617981   0.0299102  
  240.532486    46.9520073   0.0284313  
  238.3995819   49.6321983   0.0346298  
  241.0153656   47.7546234   0.0403715  
  228.7881622   -1.9682256   0.0500572  
  229.4520874   -1.4261428   0.0371119  
  232.9337311   -1.3782647   0.0397425  
  134.0900421   51.239933    0.0729996  
  129.454483    47.3508835   0.0295564  
  130.4076233   46.7935143   0.0370338  
  161.5619965   0.0502551    0.0465584  
  162.0134277   0.5669616    0.046072   
  225.3805847   -2.4650936   0.0361994  
  235.3434296   4.0920415    0.0479735  
  232.7234039   4.7745795    0.0505445  
  140.6405792   50.2000542   0.016883   
  142.1356964   50.7936211   0.0251076  
  146.3018646   53.6868591   0.0375155  
  145.0654144   53.6228676   0.0248462  
  202.138916    -2.2156146   0.0473127  
  202.4909973   -2.0143919   0.0472226  
  203.7733002   -1.6726775   0.0548222  
  24.4667797    14.8883762   0.0385134  
  173.9219971   58.3237152   0.0172127  
  339.4132996   12.9298258   0.0700696  
  333.2018433   13.3341198   0.0738627  
  258.1523438   32.8756866   0.0233994  
  245.0099182   45.7972717   0.0533752  
  247.7816772   43.3485451   0.0086513  
  155.9581757   59.1740379   0.0242153  
  157.100647    59.7641487   0.0309072  
  157.6509857   60.0079384   0.0311972  
  157.358429    60.2955322   0.0232969  
  258.2822571   29.5018291   0.0489697  
  232.1337585   52.7536926   0.0775855  
  259.6484375   29.2514725   0.0546321  
  260.3303833   31.0682888   0.044585   
  226.8190308   6.0977807    0.0326463  
  233.516098    2.2104924    0.0342236  
  221.8192139   -2.5898063   0.0581916  
  225.5546112   -2.5193648   0.0791303  
  208.7637482   -1.9622926   0.03612    
  223.7864227   -1.5676053   0.0483112  
  218.0078888   -1.9770521   0.0729062  
  224.5200043   -1.7868897   0.0409218  
  216.9318848   -1.5870225   0.0239765  
  254.225708    33.9085884   0.0562454  
  254.5762177   33.6378059   0.0571273  
  255.216507    33.7806511   0.0570408  
  255.2678223   33.4752426   0.0295958  
  229.1043243   0.7080482    0.03483    
  231.4050751   2.6810663    0.0753548  
  255.0553741   32.8396873   0.0783213  
  227.2508698   5.2734971    0.0307332  
  8.2007265     14.7939434   0.0418354  
  145.1340027   1.7764959    0.0492385  
  172.5497437   1.8273575    0.0500968  
  172.7364655   2.2870491    0.0170256  
  170.3869629   2.8104753    0.0238272  
  173.5835571   2.7737632    0.0474377  
  176.0153046   2.8099329    0.0520991  
  172.4055023   3.1561978    0.0225875  
  143.798172    2.5720816    0.0471423  
  145.3151093   2.8209615    0.048609   
  254.7111969   40.1211586   0.0288803  
  255.1375122   39.3979721   0.0615954  
  256.2020264   38.9292183   0.063839   
  171.220459    58.1237183   0.0429109  
  162.5370941   5.3272328    0.0258863  
  212.6495972   59.3579979   0.0102219  
  212.391449    60.4095345   0.0294007  
  204.3990479   60.2537079   0.0251483  
  215.2357178   58.651001    0.0487091  
  203.5269012   61.4213257   0.0728321  
  211.093277    60.0269165   0.0426961  
  202.2450104   61.9142609   0.0255106  
  215.6544647   59.9308777   0.0292307  
  128.4737549   44.8821716   0.0455467  
  131.8945312   46.2462387   0.0292365  
  131.959198    46.4285583   0.0469188  
  133.0192719   47.0359192   0.0144255  
  131.8449554   46.7110939   0.0410726  
  134.6869049   49.045269    0.0520341  
  173.5088196   5.523973     0.0500559  
  227.0285492   2.4314253    0.0337754  
  5.122088      -0.5549943   0.0398434  
  197.5246277   63.0891724   0.026944   
  200.2848969   62.7501488   0.0344885  
  197.660675    61.2732506   0.0313142  
  195.0383453   62.3146744   0.0429037  
  195.0928802   62.2392159   0.0335691  
  195.8911743   62.143383    0.0336446  
  199.2935333   61.8692665   0.0410912  
  209.618866    -1.6880524   0.0470618  
  210.361084    -2.7127376   0.0299354  
  210.0917511   -2.3158903   0.0298793  
  216.7992096   -2.2624059   0.0237972  
  209.6898041   -1.947731    0.0295005  
  208.5298157   4.9388165    0.040003   
  203.35466     58.3161812   0.0252531  
