# ra            dec          z          
  146.2998352   -0.1199955   0.0307035  
  146.3557739   -0.1433713   0.0307391  
  148.9794922   -0.1902811   0.0209469  
  149.09021     -0.2514271   0.0213969  
  130.4548798   50.7864227   0.0543933  
  130.4144745   50.7884293   0.0543448  
  152.7718353   1.2240763    0.0331518  
  152.7750244   1.22543      0.0330756  
  150.4695282   3.0113225    0.0440904  
  150.4279785   3.0049946    0.0440681  
  165.3192444   3.5629168    0.0395882  
  165.3904419   3.6292744    0.0391292  
  234.188385    -0.8255497   0.0376914  
  234.0944519   -0.7536684   0.03763    
  166.4498291   -0.8860456   0.0457647  
  166.4068298   -0.8481552   0.0461611  
  166.8816833   0.7831058    0.0394706  
  166.9551392   0.7443817    0.039071   
  216.8437042   3.5764964    0.0342642  
  216.9407806   3.5727525    0.0344262  
  214.1152802   4.9613667    0.0575219  
  214.1359558   4.9546609    0.0576184  
  152.2851562   62.3929977   0.0525701  
  152.2250366   62.4022141   0.0530557  
  202.6322937   -0.6033337   0.0542396  
  202.6332855   -0.6038339   0.0541625  
  222.5430603   1.3834788    0.0442121  
  222.561264    1.3923848    0.0443953  
  163.0282593   -0.5607941   0.0184664  
  163.3365021   -0.6063861   0.0184959  
  164.5249329   0.4121523    0.0259476  
  164.388092    0.4377821    0.0260847  
  115.8557968   37.9453812   0.046443   
  115.8579102   37.9068069   0.0464512  
  116.3295135   38.5798035   0.0363901  
  116.1958313   38.6986237   0.0362197  
  117.4124756   42.9670563   0.0307213  
  117.4525757   42.9669228   0.0310589  
  117.0433807   41.8894882   0.040849   
  116.8828049   41.9122963   0.0411717  
  200.2277222   -0.9411897   0.0478313  
  200.2437286   -0.8959307   0.0481565  
  182.4768829   -0.918167    0.0791519  
  182.4974518   -0.8969575   0.0794588  
  182.6482391   -0.1714989   0.0503876  
  182.676239    -0.1589262   0.050313   
  190.2234802   1.0083566    0.0229075  
  190.2391052   0.9872262    0.0231281  
  171.2467499   64.3139801   0.046924   
  171.4849396   64.3314438   0.0471583  
  135.1125183   53.0659447   0.0717769  
  135.1551819   53.0467339   0.0717774  
  136.3813324   56.0238457   0.0254469  
  136.3100586   56.088974    0.0253162  
  220.4076691   62.3381996   0.0316638  
  220.2550201   62.4019966   0.0315452  
  246.7279053   47.4339638   0.0326206  
  246.7965393   47.5017166   0.0327133  
  210.6676941   65.0102005   0.034534   
  210.6746521   65.0990219   0.0345399  
  241.7779694   52.1332397   0.0337262  
  241.6452179   52.1648865   0.0339303  
  244.1145325   52.2048225   0.0475369  
  244.130249    52.1883354   0.0473433  
  196.5064697   -0.9977703   0.0226538  
  196.3451233   -0.927073    0.02272    
  197.6684418   -0.4922341   0.0632697  
  197.6410828   -0.5036555   0.063725   
  135.8572388   50.9171333   0.0359451  
  135.863327    50.8669624   0.0357504  
  203.4630737   -1.2327625   0.0471839  
  203.4578705   -1.2411337   0.0475895  
  211.3552551   -0.8113426   0.049182   
  211.350708    -0.7929075   0.0492266  
  154.6355286   -0.9923308   0.049314   
  154.6370239   -0.9091898   0.0494763  
  217.5454254   -1.0410166   0.0302216  
  217.5475159   -1.0415187   0.0298558  
  19.6910534    14.993248    0.0229225  
  19.6937103    14.9896631   0.0227509  
  227.2068634   0.1780695    0.0539949  
  227.2867584   0.2534652    0.0540151  
  226.167572    0.6045177    0.0401734  
  226.1384583   0.6167849    0.0404073  
  187.2991791   68.0054016   0.0384528  
  187.3591156   67.8626328   0.0388978  
  169.4178772   65.7499619   0.053628   
  169.3661194   65.7397995   0.05373    
  178.1273956   66.3864441   0.0458741  
  178.1737061   66.3075714   0.0459663  
  183.0591888   67.0491409   0.0590152  
  183.0327301   67.0273056   0.0588895  
  112.9335403   38.3365517   0.0526712  
  112.8792343   38.3867569   0.0527902  
  54.1541634    -6.7583022   0.0776419  
  54.0771446    -6.7630377   0.0777702  
  46.6269417    -6.8618374   0.0363137  
  46.5316315    -6.7350307   0.0364102  
  124.3505325   51.7320633   0.0425536  
  124.3960419   51.7643471   0.0422578  
  239.5998688   54.9310799   0.0380535  
  239.5927887   54.8433151   0.0378441  
  125.2811966   46.8487625   0.0394973  
  125.3424301   46.7437325   0.0397266  
  123.3215408   46.3723564   0.0075621  
  122.7846298   46.4656487   0.0075948  
  127.283699    50.1127853   0.0433506  
  127.3028336   50.1145439   0.0432063  
  123.960289    47.810997    0.0402151  
  124.0268173   47.8160706   0.0401475  
  124.6456757   50.6454468   0.0427657  
  124.5633469   50.6707077   0.0428327  
  222.089325    -0.807538    0.0562283  
  222.0445251   -0.8164786   0.0559126  
  221.0145569   2.48E-5      0.0338697  
  221.0272675   -0.0058903   0.0342934  
  231.1505432   54.7479248   0.0293749  
  231.1405029   54.691555    0.0296479  
  230.3227844   56.9269028   0.0509884  
  230.3911591   56.8981438   0.0512233  
  193.793335    -2.1611388   0.051427   
  193.8652649   -2.206883    0.051697   
  195.2270813   -1.3466494   0.0227401  
  195.2048187   -1.3601142   0.0227462  
  193.5682526   -2.0345526   0.0164788  
  193.3721313   -1.74203     0.0164271  
  147.734314    62.1856956   0.0245573  
  148.175415    62.2808723   0.0244301  
  160.0648041   65.4919739   0.0339116  
  160.3431091   65.3948898   0.0340261  
  164.3166656   66.7530136   0.0378207  
  164.1407013   66.6152802   0.0381545  
  162.2037354   66.6101379   0.0416668  
  162.2645721   66.5731125   0.0421341  
  204.1997223   1.1539159    0.0470598  
  204.2186279   1.1882148    0.0469514  
  159.5214844   1.7451086    0.0346609  
  159.5365753   1.7872344    0.0351572  
  157.698349    1.4838817    0.0510111  
  157.6790619   1.4016266    0.0507713  
  234.1555328   55.0576935   0.0399007  
  234.0362244   55.0993767   0.0395383  
  237.6203461   55.0180244   0.0414787  
  237.6346283   54.9516487   0.0415956  
  189.776123    -2.5082052   0.0232452  
  189.7713165   -2.4835591   0.0229873  
  187.9892731   -2.8663979   0.024349   
  188.041626    -3.0375769   0.0241743  
  224.4435883   59.3424149   0.0391899  
  224.3702545   59.2956009   0.0395392  
  248.2953644   -0.2132699   0.0251724  
  248.2753448   -0.1890579   0.0255694  
  121.307785    46.3316574   0.0290896  
  121.3571243   46.2873993   0.0288994  
  259.2193604   57.463623    0.0500473  
  259.0326233   57.5229149   0.0498581  
  126.5597153   48.280117    0.0537523  
  126.4017868   48.2540855   0.0537717  
  132.8305817   53.9363899   0.0280475  
  132.8921967   54.0281448   0.0283643  
  129.8682251   52.2510109   0.0443304  
  129.9376984   52.170536    0.0440055  
  135.0569458   53.9179764   0.025356   
  135.0955811   53.9448318   0.0251751  
  133.6455383   57.1667061   0.0168655  
  133.778717    56.8273735   0.016546   
  184.7084961   64.3528137   0.0307842  
  185.0919952   64.3070908   0.0309368  
  169.0779572   64.2370987   0.0508564  
  169.1455841   64.2390594   0.0509748  
  171.7195892   64.844101    0.0373194  
  171.8365631   64.9633713   0.0374952  
  166.4211731   5.7065163    0.0501331  
  166.3845367   5.7075958    0.0499361  
  167.7022247   2.4046414    0.0658977  
  167.6965942   2.4002712    0.065569   
  159.6309509   58.7854271   0.0311644  
  159.5845642   58.8100014   0.0316186  
  127.6259308   42.8090553   0.0454379  
  127.6265564   42.8050728   0.0454098  
  259.6317749   30.8783855   0.0449334  
  259.6976318   30.9319897   0.0453543  
  223.6216583   2.2877221    0.0341316  
  223.7138214   2.40066      0.0340938  
  248.5945129   48.0619888   0.0353098  
  248.4678497   47.9953041   0.0347909  
  251.8394623   44.702713    0.0254041  
  251.7155762   44.8876076   0.0255637  
  201.56987     58.6832848   0.0231402  
  201.6402588   58.6806526   0.0233187  
  195.5267029   59.7211456   0.0272931  
  195.2640381   59.7672844   0.0271227  
  141.2521973   54.0912018   0.0321534  
  141.2866974   54.0621986   0.0322308  
  165.1359558   3.0013995    0.0531295  
  165.1380005   3.0149035    0.053576   
  122.5273972   38.0170898   0.0404168  
  122.5726395   38.0773926   0.0409448  
  234.46521     3.453701     0.0438793  
  234.5108032   3.4411671    0.0441671  
  133.2898102   2.246417     0.0352377  
  133.3194275   2.2430055    0.0347262  
  162.9917908   3.7920718    0.0120981  
  163.0010681   3.8358424    0.0119948  
  164.567749    4.5835843    0.0220177  
  164.6282501   4.6310062    0.0221732  
  197.6455688   2.7573905    0.0672882  
  197.649765    2.7546024    0.0677167  
  225.096405    3.861172     0.0363742  
  225.039856    3.8667116    0.0366125  
  226.7625732   3.8945007    0.0558821  
  226.8248291   3.8954036    0.0557123  
  229.7448273   3.0072894    0.0426316  
  229.7742767   3.0222211    0.0425279  
  207.6408691   2.2322047    0.0421891  
  207.7468109   2.2561297    0.0416568  
  153.4732208   -0.3188701   0.0710345  
  153.4194794   -0.2671448   0.0706609  
  155.3720856   0.155147     0.0565492  
  155.3916779   0.0743008    0.0570367  
  20.0115929    14.3618603   0.0311998  
  20.026474     14.3590984   0.0314928  
  124.1046753   43.9718399   0.0200554  
  123.8431473   44.0644913   0.0202965  
  121.2723999   40.1745682   0.0500956  
  121.3347702   40.0813408   0.0497724  
  314.6072388   -5.8128424   0.0278017  
  314.6142273   -5.8201623   0.0281291  
  310.0926514   -4.8333311   0.0607444  
  310.0910034   -4.8935132   0.0609589  
  118.6036682   39.371521    0.0198504  
  118.8688736   39.4202003   0.0198477  
  125.8209457   45.8968735   0.0537268  
  125.7850571   45.8565636   0.0539354  
  144.1473541   1.1166121    0.0164324  
  144.1112823   1.1914551    0.0162906  
  146.6981201   2.1684012    0.0579501  
  146.7188873   2.2034559    0.0583311  
  146.0432892   2.4103122    0.0199409  
  146.2254791   2.4654837    0.0199426  
  316.0170288   9.9176083    0.0337875  
  316.0606079   9.8533421    0.0340215  
  317.8229065   10.4825716   0.0588507  
  317.8082886   10.4996338   0.0587161  
  187.4020233   3.4415252    0.0786892  
  187.3776398   3.4951622    0.0783096  
  26.10923      13.1598692   0.0449807  
  26.1304989    13.0592985   0.0453775  
  154.6554718   3.2636037    0.0144381  
  154.7314148   3.6601675    0.0143904  
  148.5892487   4.0919724    0.0343046  
  148.5467987   3.9240196    0.0343453  
  152.9278412   4.8173594    0.0286946  
  152.9487      4.8268361    0.0289713  
  154.2271118   3.7663896    0.0524284  
  154.2001648   3.7814467    0.0522872  
  345.1193237   -10.3793459  0.0323521  
  345.2029724   -10.4426003  0.0325622  
  156.9617767   2.6094377    0.0284743  
  157.0024414   2.5706089    0.0285152  
  156.8675232   2.9126546    0.0329088  
  156.8209381   3.0268378    0.0332171  
  157.0769806   4.007268     0.0442394  
  156.9738464   3.9754624    0.0437423  
  163.5738678   5.6681952    0.0548948  
  163.5765839   5.6621675    0.054856   
  261.557251    62.1494942   0.027828   
  261.5882568   62.1411018   0.0280794  
  149.9147339   0.5867065    0.0655052  
  149.8869324   0.5859463    0.0651555  
  5.1360559     15.3473558   0.0403118  
  5.2139406     15.4202538   0.0403943  
  152.4633636   3.5473542    0.0320104  
  152.5315704   3.525141     0.0319875  
  157.9078522   3.7660267    0.0455889  
  157.9617767   3.7646596    0.045826   
  155.6016998   3.9973521    0.022865   
  155.5858459   3.9616063    0.0231833  
  156.1197357   4.6797585    0.0452017  
  156.0865479   4.6789408    0.0453576  
  180.8180237   1.6354628    0.0477174  
  180.8321381   1.6729187    0.047571   
  181.1643829   1.7691981    0.0779593  
  181.1302643   1.7119764    0.0779503  
  187.243515    2.190871     0.0777993  
  187.306015    2.2149341    0.0772758  
  180.493042    3.3367178    0.04507    
  180.3858643   3.2954354    0.0449973  
  337.6675415   -8.5293798   0.0557145  
  337.6253662   -8.5375004   0.0561644  
  349.2416992   -10.4994793  0.0420266  
  349.2802429   -10.4914932  0.0419022  
  133.229126    3.1523342    0.0345422  
  133.2065277   3.1399834    0.0347543  
  131.6688538   2.4080217    0.0132459  
  131.6545868   2.8270338    0.0132136  
  147.515625    54.4848289   0.0317613  
  147.578537    54.4688683   0.0317246  
  251.279541    42.1402283   0.058801   
  251.3628845   42.0793457   0.0588378  
  251.0216675   43.0087967   0.0279323  
  251.0042877   42.8757057   0.0277695  
  166.3668976   2.5621245    0.0364025  
  166.300415    2.4570308    0.0364559  
  162.9188843   3.2194991    0.0565168  
  162.9294586   3.2113616    0.0567681  
  12.1959085    15.7089357   0.0742681  
  12.1730804    15.6864014   0.0744983  
  216.4087067   1.6004298    0.0385837  
  216.3463135   1.7246552    0.0390344  
  218.2094421   1.5424752    0.0270678  
  218.06604     1.4570498    0.0274416  
  211.5391693   2.3311694    0.024702   
  211.5093231   2.3563921    0.0246738  
  10.1210747    -10.3054981  0.0270175  
  10.0439749    -10.4406109  0.0272047  
  123.0030975   39.0125313   0.0412028  
  123.0600739   39.0487137   0.0406995  
  121.9253616   39.8171463   0.0684162  
  121.9259415   39.8115196   0.0686066  
  234.8087311   1.194901     0.0309366  
  234.7782593   1.2227057    0.0308686  
  235.794281    1.3288394    0.0397626  
  235.7640991   1.3202959    0.0397529  
  236.071701    2.1118612    0.0331485  
  236.0917358   2.0469708    0.0331564  
  235.5911713   2.4674704    0.031783   
  235.7160797   2.4085855    0.0320075  
  177.6281433   65.7410049   0.054792   
  177.5673676   65.6424026   0.0550305  
  182.4471436   58.8491859   0.0063327  
  182.2446899   58.7921181   0.0064442  
  209.0905914   4.6016936    0.0338006  
  209.0917358   4.6196265    0.0338679  
  208.6203461   5.4433837    0.0521916  
  208.6280518   5.4624815    0.0521613  
  166.144455    4.5876489    0.0291577  
  166.2229614   4.5553141    0.0287261  
  133.642395    50.7655945   0.0443978  
  133.5895386   50.7946205   0.0442397  
  232.2035522   4.2789865    0.0420434  
  232.2472839   4.322988     0.0423465  
  141.5829468   50.5708885   0.047632   
  141.539093    50.5943642   0.0478571  
  146.9934845   54.0147209   0.0248981  
  147.0949402   54.0075989   0.025103   
  139.7398834   51.3706474   0.0137921  
  139.7493744   51.3233948   0.0137493  
  153.96875     0.0883303    0.0716049  
  153.9804382   0.0228123    0.0713719  
  232.6412659   -1.2397645   0.0774579  
  232.6400146   -1.2978556   0.0770889  
  245.1005402   46.2833748   0.019565   
  245.0489349   46.3379517   0.0192     
  257.9920959   33.9570236   0.038484   
  258.0280457   33.9617348   0.0389196  
  157.9839478   59.9819069   0.0506914  
  157.8267212   59.9226189   0.0508675  
  257.5530396   30.3082104   0.0306981  
  257.4920349   30.2601948   0.031194   
  258.0568848   30.1678391   0.0305292  
  258.1436157   30.0905933   0.0307567  
  259.7226868   30.1933899   0.0148327  
  259.7051086   30.1704025   0.0147682  
  222.5600128   6.5080934    0.0439645  
  222.6150513   6.620369     0.0440936  
  224.2456818   -2.1144631   0.0231061  
  224.1381226   -2.1064131   0.0231256  
  225.7308655   -2.186342    0.0366066  
  225.7892151   -2.2047858   0.0364217  
  217.9307251   -1.2388206   0.036339   
  218.0624237   -1.1729482   0.0360809  
  222.6004639   4.615366     0.0468121  
  222.554245    4.5276637    0.0468376  
  170.3636627   1.5311326    0.0480899  
  170.3519592   1.6400917    0.048143   
  205.052063    61.384243    0.0359896  
  205.1531067   61.3823318   0.0355741  
  204.2203827   60.7960052   0.0310816  
  204.3212128   60.8407555   0.03126    
  212.6198578   59.259697    0.042572   
  212.5542908   59.2565193   0.0428254  
  211.2534485   60.3920784   0.0359602  
  211.3257751   60.4317131   0.0358832  
  168.3053436   55.5558052   0.0492765  
  168.2303009   55.4913101   0.0497592  
  118.5518723   36.6565781   0.0281587  
  118.5150375   36.6634293   0.028023   
  137.0241394   49.9108353   0.0517833  
  137.0200195   49.8775024   0.0518643  
  174.3687592   4.1891623    0.0752909  
  174.335556    4.2008862    0.074936   
  6.1298776     -0.9228736   0.0334289  
  6.2013388     -0.943885    0.0333108  
  4.2288313     -0.0882213   0.0328875  
  4.2809649     -0.1417227   0.0330997  
  8.7856255     -0.1336851   0.0302225  
